order_id,order_date,product_id_x,category,supplier,price,region,product_id_y,return_date,return_reason,is_returned
O1000,2023-06-28,P108,Clothing,Supplier A,64.21,West,,,,0
O1001,2023-01-12,P107,Clothing,Supplier C,477.02,South,,,,0
O1002,2023-01-04,P106,Clothing,Supplier A,47.54,North,,,,0
O1003,2023-06-15,P105,Books,Supplier A,100.05,South,P105,2023-03-01,Damaged,1
O1004,2023-02-14,P105,Electronics,Supplier B,33.47,East,P105,2023-02-21,Wrong Item,1
O1005,2023-04-23,P100,Clothing,Supplier A,122.37,North,P100,2023-06-17,Wrong Item,1
O1006,2023-02-06,P100,Electronics,Supplier C,416.98,North,P100,2023-06-19,Late Delivery,1
O1007,2023-03-28,P108,Books,Supplier A,400.08,West,P108,2023-01-28,Not Needed,1
O1008,2023-05-31,P109,Home,Supplier B,430.89,West,,,,0
O1009,2023-01-24,P104,Clothing,Supplier A,499.94,West,P104,2023-02-13,Late Delivery,1
O1010,2023-01-29,P103,Electronics,Supplier C,333.31,South,,,,0
O1011,2023-01-08,P106,Books,Supplier C,43.45,East,P106,2023-02-22,Damaged,1
O1012,2023-01-24,P105,Clothing,Supplier B,387.45,South,,,,0
O1013,2023-05-09,P102,Clothing,Supplier A,55.69,East,P102,2023-03-26,Wrong Item,1
O1014,2023-05-04,P101,Books,Supplier C,211.21,West,,,,0
O1015,2023-04-15,P100,Clothing,Supplier C,60.77,West,,,,0
O1016,2023-01-23,P107,Home,Supplier C,464.06,South,,,,0
O1017,2023-01-09,P109,Books,Supplier A,305.94,West,,,,0
O1018,2023-02-22,P100,Clothing,Supplier A,269.74,North,P100,2023-02-16,Wrong Item,1
O1019,2023-06-18,P101,Clothing,Supplier C,191.19,East,,,,0
O1020,2023-03-17,P106,Books,Supplier B,441.28,North,,,,0
O1021,2023-05-14,P102,Books,Supplier C,44.41,West,P102,2023-07-02,Wrong Item,1
O1022,2023-03-10,P101,Clothing,Supplier B,383.21,North,,,,0
O1023,2023-06-08,P105,Clothing,Supplier C,91.87,East,,,,0
O1024,2023-04-12,P101,Books,Supplier A,453.46,East,,,,0
O1025,2023-03-27,P105,Home,Supplier A,249.71,North,P105,2023-06-05,Wrong Item,1
O1026,2023-02-10,P109,Home,Supplier A,342.09,North,,,,0
O1027,2023-04-12,P109,Electronics,Supplier A,96.59,North,,,,0
O1028,2023-06-11,P100,Clothing,Supplier A,50.64,West,P100,2023-04-23,Late Delivery,1
O1029,2023-02-22,P100,Electronics,Supplier C,102.51,East,P100,2023-03-04,Damaged,1
O1030,2023-04-12,P103,Clothing,Supplier A,132.74,East,,,,0
O1031,2023-01-26,P102,Books,Supplier B,78.76,West,,,,0
O1032,2023-02-18,P108,Home,Supplier C,209.83,South,,,,0
O1033,2023-02-02,P103,Clothing,Supplier C,198.29,West,,,,0
O1034,2023-06-01,P102,Home,Supplier A,219.23,West,,,,0
O1035,2023-06-20,P106,Home,Supplier B,469.03,East,,,,0
